IshitId,ExternalCameraId,cameraType,Source,Name,IsDeleted,LastUpdateDate,folderName,siteName,brigadeName,x,y
8888,1182_90,LPR,נתיקות - הרכשה," לכיוון חלמיש (9 מגה)(נתיקות)",0,2023-06-27 10:08:00.903,"מצלמות נתיקות ","צומת 581 (180) ",חטמר אפרים,35.039153,32.005524
9130,1181_82,LPR,נתיקות - הרכשה,הנוסעים דרומה לכיוון נילי (5 מגה)(נתיקות),0,2024-06-06 09:44:56.321,"מצלמות נתיקות ","צומת 581 (180) ",חטמר אפרים,35.0381,32.005
9129,1181_83,LPR,נתיקות - הרכשה,הנוסעים צפונה לכיוון עופרים (5 מגה)(נתיקות),0,2024-06-06 09:45:09.540,"מצלמות נתיקות ","צומת 581 (180) ",חטמר אפרים,35.0381,32.005
12366,1181_81,LPR,נתיקות - הרכשה,לכיוון הכיכר (ציר מלכה) (5 מגה)(נתיקות),0,2023-09-12 14:44:36.811,"מצלמות נתיקות ","צומת 581 (180) ",חטמר אפרים,35.0381,32.005
9139,63_82,LPR,נתיקות - הרכשה,לכיוון עזון (9 מגה)(נתיקות),0,2023-10-22 10:20:11.541,מצלמות נתיקות,"צומת 751 (36) ",חטמר אפרים,35.0596,32.1837
9141,63_81,LPR,נתיקות - הרכשה,"לכיוון קרנ""ש (5 מגה)(נתיקות)",0,2023-10-22 10:20:17.685,מצלמות נתיקות,"צומת 751 (36) ",חטמר אפרים,35.059604347318,32.1836992273834
8874,55_81,LPR,נתיקות - הרכשה,"לכיוון ניל""י (5 מגה)(נתיקות)",0,2024-06-06 09:56:37.035,מצלמות נתיקות,צומת 969 - מזרח\מערב,חטמר אפרים,35.043535,31.967296
8875,55_82,LPR,נתיקות - הרכשה,לכיוון צפון (עפרים) (9 מגה)(נתיקות),0,2024-06-06 09:57:23.723,מצלמות נתיקות,צומת 969 - מזרח\מערב,חטמר אפרים,35.043535,31.967296
8872,229_81,LPR,נתיקות - הרכשה,בתוך הכיכר לכיון דרום (5 מגה)(נתיקות),0,2024-06-06 09:57:53.098,נתיקות,צומת 969 דרום\צפון,חטמר אפרים,35.042153,31.9672
8873,229_82,LPR,נתיקות - הרכשה,מכיוון צפון (9 מגה)(נתיקות),0,2024-06-06 09:58:02.677,נתיקות,צומת 969 דרום\צפון,חטמר אפרים,35.042153,31.9672
12318,1025_901,LPR,נתיקות - הרכשה,לכיוון ברוקין (9 מגה)(נתיקות),0,2023-10-22 10:23:08.625,מצלמות נתיקות,"צומת ברוקין ",חטמר אפרים,35.103834,32.091554
12317,1025_902,LPR,נתיקות - הרכשה,לכיוון כביש 5 (9 מגה)(נתיקות),0,2023-10-22 10:23:02.025,מצלמות נתיקות,"צומת ברוקין ",חטמר אפרים,35.103652584206,32.0916029335399
9403,9219_91,LPR,נתיקות - הרכשה,מכביש 5 לכיוון פדואל (5 מגה)(נתיקות),0,2024-03-17 16:50:01.015,מצלמות נתיקות,"צומת ברוקין ",חטמר אפרים,35.104216,32.0922273
9404,9219_92,LPR,נתיקות - הרכשה,מפדואל לכיוון כביש 5 (5 מגה)(נתיקות),0,2024-03-17 16:50:01.031,מצלמות נתיקות,"צומת ברוקין ",חטמר אפרים,35.104216,32.0922273
11304,Site65111EastFront,LPR,HTS - הרכשה,הנוסעים למזרח מכיוון ברקן - נתיב ימני (קדמי),0,2022-10-02 16:48:06.324,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.140477,32.10947
11305,Site65112EastFront,LPR,HTS - הרכשה,הנוסעים למזרח מכיוון ברקן - נתיב שמאלי (קדמי),0,2023-10-09 17:39:43.526,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.1388079,32.1090917
11311,Site65162EastRear,LPR,HTS - הרכשה,הנוסעים מזרחה לכיוון אריאל - נתיב ימני (אחורי),0,2023-05-08 13:40:09.865,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.142064,32.109535
11310,Site65161EastRear,LPR,HTS - הרכשה,הנוסעים מזרחה לכיוון אריאל - נתיב שמאלי (אחורי),0,2023-05-08 13:39:59.791,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.1420641,32.1095346
11306,Site65121WestFront,LPR,HTS - הרכשה,הנוסעים מערבה - נתיב השתלבות (קדמי),0,2023-05-08 13:37:46.579,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.1386831,32.1093786
11307,Site65122WestFront,LPR,HTS - הרכשה,הנוסעים מערבה - נתיב ימני (קדמי),0,2023-05-08 13:37:54.784,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.1386831,32.1093786
11308,Site65123WestFront,LPR,HTS - הרכשה,הנוסעים מערבה - נתיב שמאלי (קדמי),0,2023-05-08 13:38:20.888,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.1386831,32.1093786
11309,Site65131NorthFront,LPR,HTS - הרכשה,הפונים מצומת אריאל לצומת חארס (ציר אנקה),0,2024-06-17 16:19:16.861,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.1402399,32.1099775
11677,Site65142NorthFront,LPR,HTS - הרכשה,הפונים מצומת חארס לצומת אריאל (ציר אנקה),0,2024-06-17 16:19:50.627,מצלמות לוחית זיהוי גיתאי אבישר,צומת גיתאי אבישר,חטמר אפרים,35.14024,32.109977
9556,141_90,LPR,נתיקות - הרכשה,לכיוון יקיר (7 מגה)(נתיקות),0,2023-09-12 15:43:54.722,"מצלמות נתיקות ",צומת גיתאי אבישר,חטמר אפרים,35.1377,32.1098
13058,1129_91,LPR,נתיקות - הרכשה,נוסעים מנילי לכיוון המחסום,0,2024-05-28 09:32:35.794,מצלמות נתיקות,צומת דיר קדיס,חטמר אפרים,35.031377,31.946767
13061,1129_92,LPR,נתיקות - הרכשה,נכנסים לדיר קדיס מכיוון המחסום,0,2024-05-28 09:33:09.623,מצלמות נתיקות,צומת דיר קדיס,חטמר אפרים,35.031377,31.946767
9325,94_91,LPR,נתיקות - הרכשה,יציאה מדיר איבזיע (7 מגה)(נתיקות),0,2023-06-27 10:09:37.030,מצלמות נתיקות,"צומת הפרסה ",חטמר אפרים,35.1152983939114,31.929101452433
9342,94_92,LPR,נתיקות - הרכשה,כניסה לדיר איבזיע (5 מגה)(נתיקות),0,2023-09-12 14:48:09.492,מצלמות נתיקות,"צומת הפרסה ",חטמר אפרים,35.1153,31.929064
11669,184_91,LPR,נתיקות - הרכשה,ציר הנסיעה מכיוון צומת חארס לצפון 1 (5 מגה)(נתיקות),0,2024-06-06 13:36:20.478,"מצלמות נתיקות ",צומת חארס (45),חטמר אפרים,35.13282,32.113049
